id,greenhous_temperature_celsius,greenhouse_humidity_percentage,greenhouse_illuminance_lux,online_temperature_celsius,online_humidity_percentage,greenhouse_total_volatile_organic_compounds_ppb,greenhouse_equivalent_co2_ppm,created,stress_risk
442505,12.777904987335203,69.78790283203125,0.0,6.099999904632568,85.0,625.4,1161.9,2021-03-14 23:10:03,0
442557,12.780308151245118,69.81414794921875,0.0,6.099999904632568,87.0,639.8,1179.2,2021-03-14 23:20:04,0
442609,12.782058927747938,69.86377292209201,0.0,6.099999904632568,89.0,621.2222222222222,1152.3333333333333,2021-03-14 23:30:06,0
442656,12.76508731842041,69.91180419921875,0.0,6.099999904632568,89.0,614.5,1141.1,2021-03-14 23:40:04,0
442708,12.75253677368164,69.962158203125,0.0,6.0,88.0,605.4,1132.9,2021-03-14 23:50:03,0
442760,12.74052038192749,70.04013061523438,0.0,5.800000190734863,89.0,584.2,1103.6,2021-03-15 00:00:07,0
442812,12.731322606404625,70.1021491156684,0.0,5.699999809265137,91.0,584.4444444444445,1098.888888888889,2021-03-15 00:10:03,0
442859,12.732806099785698,70.16691419813368,0.0,5.699999809265137,92.0,563.5555555555555,1072.0,2021-03-15 00:20:04,0
442906,12.755207061767578,70.23864974975587,0.0,5.699999809265137,92.0,544.6,1045.7,2021-03-15 00:30:03,0
442958,12.766036775377062,70.27949778238933,0.0,5.599999904632568,95.0,539.2222222222222,1045.888888888889,2021-03-15 00:40:03,0
443005,12.78137664794922,70.30731964111328,0.0,5.599999904632568,96.0,572.9,1092.6,2021-03-15 00:50:00,0
443057,12.805943489074709,70.32471466064453,0.0,5.599999904632568,96.0,661.6,1230.0,2021-03-15 01:00:05,0
443109,12.815556526184082,70.3563003540039,0.0,5.599999904632568,96.0,696.5,1264.4,2021-03-15 01:10:04,0
443161,12.83160803053114,70.38139258490668,0.0,5.599999904632568,97.0,672.4444444444445,1232.3333333333333,2021-03-15 01:20:03,0
443208,12.839589500427246,70.40848541259766,0.0,5.599999904632568,97.0,632.4,1175.3,2021-03-15 01:30:00,0
443260,12.874570846557615,70.46829986572266,0.0,5.699999809265137,96.0,633.2,1174.8,2021-03-15 01:40:03,0
443312,12.928778839111327,70.52429962158203,0.0,5.699999809265137,96.0,632.7,1181.5,2021-03-15 01:50:03,0
443364,12.97257204055786,70.60791778564453,0.0,5.800000190734863,96.0,644.2,1201.0,2021-03-15 02:00:05,0
443416,13.025949266221788,70.67503950330946,0.0,6.0,96.0,657.6666666666666,1224.3333333333333,2021-03-15 02:10:03,0
443463,13.046540355682373,70.65430450439453,0.0,6.199999809265137,95.0,671.8,1241.0,2021-03-15 02:20:03,0
443515,13.075646781921389,70.63446807861328,0.0,6.199999809265137,95.0,669.6,1236.1,2021-03-15 02:30:05,0
443567,13.09063074323866,70.60247548421223,0.0,6.5,95.0,662.2222222222222,1232.5555555555557,2021-03-15 02:40:04,0
443614,13.110509686999851,70.64952341715495,0.0,6.400000095367432,95.0,659.1388888888889,1227.8055555555557,2021-03-15 02:50:02,0
443796,13.107542779710558,70.6555421617296,0.0,6.400000095367432,95.0,658.4444444444445,1227.5555555555557,2021-03-15 03:00:05,0
443843,13.10929307937622,70.63019561767578,0.0,6.5,95.0,667.5,1238.3,2021-03-15 03:10:03,0
443895,13.081254386901856,70.59021759033203,0.0,6.400000095367432,95.0,671.0,1244.5,2021-03-15 03:20:04,0
443947,13.04360303878784,70.62653350830078,0.0,6.400000095367432,95.0,661.0,1226.3,2021-03-15 03:30:05,0
443999,12.98589399125841,70.60315365261502,0.0,6.300000190734863,95.0,662.8888888888889,1229.0,2021-03-15 03:40:03,0
444046,12.911688423156738,70.53604888916016,0.0,6.199999809265137,96.0,644.6,1192.9,2021-03-15 03:50:02,0
444098,12.871366500854492,70.56839752197266,0.0,6.199999809265137,96.0,632.4,1179.7,2021-03-15 04:00:06,0
444150,12.839856433868407,70.60120391845703,0.0,6.199999809265137,95.0,625.7,1169.9,2021-03-15 04:10:03,0
444202,12.767816967434351,70.57941775851779,0.0,6.0,94.0,619.7777777777778,1154.2222222222222,2021-03-15 04:20:03,0
444249,12.671892833709716,70.56519317626953,0.0,6.0,94.0,628.3,1165.4,2021-03-15 04:30:04,0
444301,12.562676429748535,70.50995635986328,0.0,5.800000190734863,94.0,627.6,1166.1,2021-03-15 04:40:04,0
444353,12.44357976913452,70.4765396118164,0.0,5.699999809265137,95.0,632.8,1168.0,2021-03-15 04:50:04,0
444405,12.324839062160915,70.44361453586154,0.0,5.699999809265137,95.0,626.7777777777778,1148.6666666666667,2021-03-15 05:00:06,0
444452,12.14049768447876,70.26596527099609,0.0,5.699999809265137,95.0,594.6,1088.4,2021-03-15 05:10:03,0
444504,11.930342864990234,70.19302444458008,0.0,5.699999809265137,95.0,576.5,1058.8,2021-03-15 05:20:04,0
444556,11.861714839935305,70.4808120727539,0.0,5.699999809265137,95.0,588.5,1081.4,2021-03-15 05:30:05,0
444608,11.923103014628092,70.7596452501085,0.0,5.599999904632568,94.0,603.8888888888889,1113.0,2021-03-15 05:40:03,0
444655,12.024071502685548,70.91172790527344,0.0,5.0,95.0,609.3,1123.7,2021-03-15 05:50:05,0
444707,12.126878833770752,70.97123718261719,0.0,5.0,95.0,607.0,1131.0,2021-03-15 06:00:07,0
444759,12.207255649566653,70.99336242675781,0.0,5.199999809265137,95.0,617.5,1145.8,2021-03-15 06:10:03,0
444811,12.262828085157606,70.96445549858942,0.0,5.5,94.0,619.7777777777778,1147.6666666666667,2021-03-15 06:20:06,0
444858,12.322346687316896,70.98069763183594,0.0,5.5,94.0,608.3,1136.8,2021-03-15 06:30:04,0
444910,12.388037109375,70.97032165527344,13.3,5.400000095367432,95.0,618.7,1151.3,2021-03-15 06:40:05,0
444962,12.46227207183838,70.93553161621094,103.1,5.400000095367432,95.0,616.7,1154.4,2021-03-15 06:50:04,0
445014,12.5378721025255,70.82882181803386,210.22222222222223,5.400000095367432,95.0,638.6666666666666,1184.5555555555557,2021-03-15 07:00:08,0
445061,12.61421365737915,70.7418930053711,397.3,5.300000190734863,95.0,645.6,1200.2,2021-03-15 07:10:03,0
445113,12.69726104736328,70.64774322509766,598.9,5.400000095367432,95.0,669.0,1234.6,2021-03-15 07:20:04,0
445165,12.867094039916992,70.36514816284179,1084.3,5.400000095367432,95.0,697.5,1272.9,2021-03-15 07:30:05,0
445217,13.185871866014269,69.9493916829427,1495.0,5.5,95.0,718.4444444444445,1294.3333333333333,2021-03-15 07:40:04,0
445264,13.417448711395265,69.68719024658203,1545.5,5.699999809265137,95.0,703.5,1297.5,2021-03-15 07:50:02,0
445316,13.738036685519749,69.36378479003906,2116.0,5.699999809265137,95.0,745.6666666666666,1318.888888888889,2021-03-15 08:00:07,0
445363,14.152857112884522,68.95323181152344,2552.8,5.800000190734863,92.0,831.2,1364.0,2021-03-15 08:10:04,0
445415,14.65158568488227,68.515380859375,3165.777777777778,5.800000190734863,92.0,838.7777777777778,1374.7777777777778,2021-03-15 08:20:04,0
445462,15.128328323364258,68.27374801635742,2818.2,6.099999904632568,92.0,826.8,1378.1,2021-03-15 08:30:05,0
445514,15.227130508422851,68.1004035949707,2171.0,6.300000190734863,90.0,823.4,1373.9,2021-03-15 08:40:03,0
445566,15.266651344299316,67.70931549072266,2875.8,6.400000095367432,89.0,859.4,1380.6,2021-03-15 08:50:03,0
445618,15.581453535291883,67.14766438802083,4354.444444444444,6.400000095367432,89.0,957.6666666666666,1422.6666666666667,2021-03-15 09:00:06,0
445665,16.41904682583279,66.8828370836046,4799.777777777777,6.699999809265137,87.0,1035.888888888889,1480.5555555555557,2021-03-15 09:10:04,0
445712,18.014419937133788,65.5671012878418,7208.6,6.699999809265137,87.0,1161.0,1591.3,2021-03-15 09:20:04,0
445764,18.554419623480904,64.61890453762479,6252.888888888889,6.699999809265137,87.0,1250.0,1682.0,2021-03-15 09:30:05,0
445811,19.259593963623047,63.12031784057617,6713.5,6.599999904632568,87.0,1362.1,1838.9,2021-03-15 09:40:04,0
445863,19.720492935180665,62.37491416931152,8016.6,6.900000095367432,81.0,1339.3,1814.1,2021-03-15 09:50:04,0
445915,20.00247974395752,61.88754158020019,6678.2,6.900000095367432,81.0,1321.1,1795.8,2021-03-15 10:00:05,0
445967,20.50019900004069,60.907741970486114,9083.777777777776,7.599999904632568,77.0,1315.888888888889,1775.888888888889,2021-03-15 10:10:05,0
446014,24.891851806640624,56.54856224060059,16726.8,7.5,78.0,1415.1,2198.3,2021-03-15 10:20:04,1
446066,24.162050628662108,56.99153099060059,5193.1,7.5,78.0,1390.8,2039.3,2021-03-15 10:30:07,1
446118,22.452506446838377,57.01106300354004,5525.3,7.5,74.0,1341.0,1731.1,2021-03-15 10:40:06,0
446170,22.60441822475857,55.2483401828342,8250.888888888889,4.199999809265137,86.0,1238.111111111111,1647.2222222222222,2021-03-15 10:50:06,0
446217,27.62893867492676,51.41405296325684,10040.3,4.199999809265137,86.0,1514.0,2372.6,2021-03-15 11:00:05,1
446269,29.95559616088867,49.2954906463623,14890.4,5.599999904632568,86.0,1673.6,2672.1,2021-03-15 11:10:05,1
446321,32.363698959350586,46.51117668151856,19297.1,6.300000190734863,86.0,1901.4,3023.2,2021-03-15 11:20:06,1
446373,34.433382246229385,45.84115431043837,21135.666666666668,6.300000190734863,86.0,2102.4444444444443,3448.222222222222,2021-03-15 11:30:06,1
446420,33.66041088104248,46.51895904541016,11673.5,6.599999904632568,87.0,2065.7,3262.7,2021-03-15 11:40:04,1
446472,29.1560998916626,48.699473190307614,4666.0,7.199999809265137,85.0,1653.8,2320.8,2021-03-15 11:50:04,1
446524,26.14236660003662,49.63775100708008,8767.4,7.099999904632568,84.0,1414.2,1767.0,2021-03-15 12:00:07,0
446576,30.004492865668404,47.054076300727,8772.222222222223,7.199999809265137,82.0,1671.888888888889,2456.555555555556,2021-03-15 12:10:04,1
446623,32.78187255859375,46.521095275878906,13113.7,7.900000095367432,77.0,1909.4,3025.7,2021-03-15 12:20:05,1
446675,30.77271671295166,48.16357650756836,11318.2,7.900000095367432,77.0,1826.1,2675.7,2021-03-15 12:30:06,1
446727,28.077019882202148,49.2718391418457,8255.4,6.800000190734863,75.0,1622.8,2163.3,2021-03-15 12:40:04,1
446779,28.18095525105794,48.44281684027778,17390.444444444445,6.199999809265137,81.0,1644.7777777777778,2232.4444444444443,2021-03-15 12:50:06,1
446826,33.31940975189209,44.98466529846191,7599.8,6.199999809265137,81.0,2061.6,3152.7,2021-03-15 13:00:05,1
446878,32.71404609680176,45.36751365661621,11257.5,8.0,75.0,2037.1,2934.8,2021-03-15 13:10:05,1
446930,32.34180221557617,44.64057312011719,11387.9,8.0,67.0,1918.9,2727.7,2021-03-15 13:20:04,1
446982,30.01042705112033,45.94033771091037,9934.111111111111,8.0,67.0,1771.3333333333333,2328.6666666666665,2021-03-15 13:30:07,1
447029,27.69863395690918,47.52712287902832,8224.1,8.5,62.0,1563.3,1947.6,2021-03-15 13:40:05,0
447081,25.916189765930177,48.69871025085449,9196.7,8.199999809265137,62.0,1434.6,1674.2,2021-03-15 13:50:04,0
447133,24.833905601501463,49.88723564147949,7011.2,8.199999809265137,62.0,1404.8,1622.5,2021-03-15 14:00:08,0
